First Name,Last Name,Email,Department,Phone Extension
Benjen,Stark,ColdHands@westeros.net,Unknown,0
Catelyn,Stark,Mother@westeros.net,Human Resources,301
Arya,Stark,A_Girl@westeros.net,Research & Development,170
Robb,Stark,YoungWolf@westeros.net,Research & Development,150
Sansa,Stark,LittleDove@westeros.net,Research & Development,131
Bran,Stark,TheRaven@westeros.net,Research & Development,139
Rickon,Stark,Shaggydog@westeros.net,Research & Development,130
Jon,Snow,TheGhostBrother@westeros.net,Unknown,0
Tyrion,Lannister,TheImp@westeros.net,Accounting,498
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,442
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,425
Robert,Baratheon,TheUsurper@westeros.net,Sales,575
Stannis,Baratheon,ThePromised@westeros.net,Sales,531
Renly,Baratheon,SummerKing@westeros.net,Sales,591
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,201
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,292
